asin,brand,description,listPrice/currency,listPrice/value,price,price/currency,price/value,reviewsCount,stars,thumbnailImage,title,url
B09CV24TMK,Bennett,,₹,1499,,₹,512,6061,4,https://m.media-amazon.com/images/I/51R4AkDyTHL._SX300_SY300_QL70_FMwebp_.jpg,Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),https://www.amazon.in/dp/B09CV24TMK
B075Y72PHZ,Brand: Lenovo,,₹,1790,,₹,799,27719,4.2,https://m.media-amazon.com/images/I/41mZXgX-X6L._SX342_SY445_.jpg,"Lenovo 15.6"" Casual Backpack B210",https://www.amazon.in/dp/B075Y72PHZ
B07QHMKHWH,Genie,"Give your everyday routine a fresh update with Genie Camellia backpack. With all-over floral print, this backpack will be the style statement as you head off to class and your classmates stare in awe. It is spacious enough to carry all your supplies whilst looking cute.",₹,2339,,₹,818,3339,4.2,https://m.media-amazon.com/images/I/51gdNyehw0L._SX342_SY445_.jpg,"Genie Camellia School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls",https://www.amazon.in/dp/B07QHMKHWH
B09NNYCQ1Q,Brand: URBAN CARRIER,,₹,1999,,₹,431,860,3.6,https://m.media-amazon.com/images/I/41mn27YlwrL._SY445_SX342_.jpg,URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,https://www.amazon.in/dp/B09NNYCQ1Q
B01FVQLLU0,COSMUS,,₹,2599,,₹,1333,10019,4.3,https://m.media-amazon.com/images/I/41GIFqPPZGL._SX300_SY300_QL70_FMwebp_.jpg,COSMUS Darwin Navy Blue Laptop Backpack for (15.6 inch),https://www.amazon.in/dp/B01FVQLLU0
B07XYY2FW4,Red Lemon,,₹,5999,,₹,3299,177,4.3,https://m.media-amazon.com/images/I/51rj-dbIyZL._SY300_SX300_QL70_FMwebp_.jpg,Red Lemon Polyester Bange Series 15.6inch Laptop Bag for Men 35 LTR Capacity Daily Office Bag for Men and Women Black (1903),https://www.amazon.in/dp/B07XYY2FW4
B089QB6D7B,Arctic Fox,"Introducing Slope Anti-Theft backpack to secure your essentials. A Multi-functional Laptop bag that has feature-rich updates like Anti-theft, mobile charging port, and a new tech-inspired design making it a prefect bag for laptop to organize your electronics and simplify your life on-the-go..",,,,₹,1445,3958,4.5,https://m.media-amazon.com/images/I/31AUBvY6lDL._SX342_SY445_.jpg,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),https://www.amazon.in/dp/B089QB6D7B
B0B6FNPN76,ah arctic hunter,,₹,9999,,₹,5699,130,4.4,https://m.media-amazon.com/images/I/418jDL-4NYL._SX342_SY445_.jpg,"Ah Arctic Hunter Premium Business Backpack For Men Office, Travel With 15.6 Inch Laptop Pocket Water/Scratch-Resistant Multiple Pocket Padded College Backpack",https://www.amazon.in/dp/B0B6FNPN76
B0C1NZ1PW7,Baggit,,₹,1590,,₹,689,2590,4.3,https://m.media-amazon.com/images/I/31AyQ4AxtHL._SY395_SX395_.jpg,Baggit Women's Sling Bag - Small,https://www.amazon.in/dp/B0C1NZ1PW7
B019FBEJCO,Gear,"Intuitively crafted at the Gear Design Studio to balance comfort, style, endurance and functionality.",₹,1299,,₹,675,1208,4.1,https://m.media-amazon.com/images/I/41R-mic1IyL._SY445_SX342_.jpg,Gear Campus8 25L Water Resistant School Bag/Backpack/College Bag for Men/Women - Green Grey,https://www.amazon.in/dp/B019FBEJCO
